Country Name,Country Code,Series Name,Series Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],Most_Recent
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,793.981078525675,759.292202935166,642.254713999242,656.834565049434,710.961168329605,865.789649014533,919.806802750387,931.754286971344,951.947895564691,1065.89637469891,1242.43104388465,1217.74920575106,1219.74909551521,1214.70394645331,1262.48021811586,1423.68228222575,1569.92827532574,1534.97372365857
Cote d'Ivoire,CIV,GINI index (World Bank estimate),SI.POV.GINI,39,..,..,..,41.3,..,..,..,..,..,43.2,..,..,..,..,..,..,41.5
Cote d'Ivoire,CIV,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.060974438600722,0.118685916651984,0.231461670612799,0.395747702246439,0.497929360753307,0.758669629452205,0.849282414747704,1.03923820514001,1.52490079122527,1.8,1.9,2,2.7,2.9,5,12,19.2742298,26.5272256146313
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.438,46.969,46.672,46.567,46.637,46.856,47.205,47.658,48.183,48.747,49.321,49.883,50.423,50.945,51.463,51.989,52.52,53.582
Cote d'Ivoire,CIV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,36.3502388000488,..,48.7407608032227,..,..,..,..,..,..,..,..,..,..,..,40.9816284179688,..,43.9084205627441,43.9084205627441
Cote d'Ivoire,CIV,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,103.2,102.1,100.7,96.9,95.1,93.2,91.1,89,86.8,83.7,81.5,79.5,78.4,76.5,74.6,72.3,70.1,66
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,15884552,16300233,16686561,17040152,17366517,17679355,17997738,18336303,18699435,19085941,19497986,19936366,20401331,20895311,21418603,21966312,22531350,23695919
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,25432144406.2043,23386945596.6928,21774273832.1031,23289671102.3197,26878499206.0165,34658113497.39,41574530815.5047,45416358501.9835,50453577898.4886,60093155532.7678,70481451814.3118,62703095750.5257,59665427464.5326,62236751773.0497,56485301967.4205,57769872074.883,57080369367.8021,50714957390.5378
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,5650.33201648619,5135.47334139059,4919.62806870834,5245.42141944138,6053.7160373911,7805.88141833108,9365.74246801187,10224.3040301629,11363.4184456056,13546.6987224454,15893.8605622792,14157.144161951,13505.7458630323,14539.1842057182,13235.9775701749,13574.7400890627,13467.4682686752,12149.1895839418
Croatia,HRV,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,32.6,32.4,32.3,32.5,32,32.1,30.8
Croatia,HRV,Individuals using the Internet (% of population),IT.NET.USER.ZS,3.27322027921442,4.40535911936871,6.64488254374396,11.5585731811648,17.76,22.75,30.91,33.14,37.98,41.44,44.24,50.58,56.55,57.7899789891444,61.9399731527956,66.7476,68.57,72.6973060458944
